Name (str),Dominion (str),Class (str),Role (str),ID (str),Effect (str),Ether (int),Ether (img),Artwork (img)
Overbearing Advance,Xalakith,Special Action,,04XAL-05SPA-020,"An ally performs the following *free action*:
**PUSH(4d{M3/Icons/Dice/NULL.png})** all enemies within **BLAST(3)**. This movement immediately disengages combat.",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/Overbearing Advance.png
The Noose of Guilt,Xalakith,Special Action,,04XAL-05SPA-021,"An ally performs the following *free action*:
**PULL(6d{M3/Icons/Dice/NULL.png})** an enemy within **RANGE(5)**. This movement immediately disengages combat.",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/The Noose of Guilt.png
Chimal's Decree,Xalakith,Special Action,"Valex, the Final Plume's Signature Action",04XAL-05SPA-022,"Your champion performs the following *free action*:
**SHIELD(2d2)** an ally within **RANGE(5)** and all allies adjacent to them.",8,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/Chimals Decree.png
A'tlahtli,Xalakith,Special Action,,04XAL-05SPA-023,An ally may perform a **RANGE(5)** **ATTACK**.,5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/Atlahtli.png
Teuctlix,Xalakith,Special Action,,04XAL-05SPA-024,"Your champion performs the following *free action*:
SUNDER(-1) all enemies within PIERCE(10) until your next prologue.",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/Teuctlix.png
Thornlash,Ahèserec,Special Action,,05AHE-05SPA-025,An ally gains **PIERCE(5)** on their next *attack*.,4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Ahèserec/Thornlash.png
Fecund Explosion,Ahèserec,Special Action,,05AHE-05SPA-026,"All unoccupied ""Verdant Soil"" are transformed into a ""Huskling"" minion.",10,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Ahèserec/Fecund Explosion.png
Thornmail Aegis,Ahèserec,Special Action,,05AHE-05SPA-027,An ally gains **RIPOSTE** until your next prologue.,4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Ahèserec/Thornmail Aegis.png
Vaporous Bloom,Ahèserec,Special Action,,05AHE-05SPA-028,"All enemies within AURA(3) of a ""Verdant Soil"" suffer 2d2 damage, then destroy the ""Verdant Soil"".",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Ahèserec/Vaporous Bloom.png
Vinesnare,Ahèserec,Special Action,,05AHE-05SPA-029,"Your champion performs the following *free action*:
An enemy within **RANGE(5)** becomes **ROOTED** and cannot be the origin or focus of any friendly effects until after their next direction.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Ahèserec/Vinesnare.png
Sylvan's Feast,Ahèserec,Special Action,,05AHE-05SPA-030,"An ally gains **ABSORB** until your next prologue, and summons a ""Verdant Soil"" to their space.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Ahèserec/Sylvans Feast.png
Apotheosis,Veritian,Special Action,,06VER-05SPA-031,**HEAL(2d2)** all allies.,8,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Veritian/Apotheosis.png
Incipient Fracture,Veritian,Special Action,,06VER-05SPA-032,An ally gains **FORCE({M3/Icons/Dice/TRIANGLE.png})** until your next epilogue.,6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Veritian/Incipient Fracture.png
Drift,Veritian,Special Action,,06VER-05SPA-033,An ally may *manoeuvre* through allies and enemies but must end a *manoeuvre* on an available space. This ally counts as if their *emergence* was this direction.,5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Veritian/Drift.png
Stasis Lock,Veritian,Special Action,,06VER-05SPA-034,"**RESERVE(2)**

An ally performs the following *free action*:
Summon a ""Warp"" on an available space within **RANGE(3)** of this character.
Each ""Warp"" is a *hazard* that causes enemies to become **STUNNED ** until after their next direction. Each ""Warp"" is destroyed after triggering. This effect persists until the last ""Warp"" is destroyed.",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Veritian/Stasis Lock.png
Pertinent Rewind,Veritian,Special Action,,06VER-05SPA-035,An ally gains **REINFORCE({M3/Icons/Dice/TRIANGLE.png})** until your next prologue.,6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Veritian/Pertinent Rewind.png
Chronatic Snipe,Veritian,Special Action,,06VER-05SPA-036,An ally gains **PATH(5)** on their next *attack*.,6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Veritian/Chronatic Snipe.png
Mantle Accretion,Rhavlika,Special Action,,01RHA-05SPA-037,"**HEAL(2d2)** all ""Molten"" allies and all allies are no longer 'Molten'.",8,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Mantle Accretion.png
Rupture Strike,Rhavlika,Special Action,,01RHA-05SPA-038,An ally gains **BLAST(2)** until you next epilogue.,6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Rupture Strike.png
Karst Shield,Rhavlika,Special Action,,01RHA-05SPA-039,"An ally gains **RIPOSTE** until your next prologue. If they are ""Molten"", additionally **SHIELD(2d2)** them and they are no longer ""Molten"".",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Karst Shield.png
Orogeny,Rhavlika,Special Action,,01RHA-05SPA-040,"**RESERVE(2)**

An ally performs the following *free action*:
Summon a ""Menhir"" on an available space within **RANGE(3)** of this character.
Each ""Menhir"" is an *obstruction*. This effect persists until your next prologue.",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Orogeny.png
Permeate,Iro-Si-Khar,Special Action,,02IRO-05SPA-041,**WEAKEN(-1)** and **SUNDER(-1)** an enemy within **RANGE(5)** of an ally until your next prologue.,5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Permeate.png
Glacial Prison,Iro-Si-Khar,Special Action,,02IRO-05SPA-042,"An ally performs the following *free action*:
A character within **RANGE(5)** of this character becomes **STUNNED **, cannot be the origin or focus of effects, and counts as a ""Floe"", then destroy this character.
Each ""Floe"" is an *obstruction*. This effect persists until your next prologue.",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Glacial Prison.png
Heavy Precipitation,Iro-Si-Khar,Special Action,,02IRO-05SPA-043,"An ally performs the following *free action*:
Whilst within **AURA(5)**, **WEAKEN(-1)** all enemies. This effect persists until your next prologue.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Heavy Precipitation.png
Rime-Heart,Iro-Si-Khar,Special Action,,02IRO-05SPA-044,An ally gains **FORCE({M3/Icons/Dice/CIRCLE.png})** until your next epilogue.,6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Rime-Heart.png
Sky Hunter's Roost,Voisira,Special Action,,03VOI-05SPA-045,"An ally summons a ""Roost"" on their space.
Each ""Roost"" is a *emplacement*. All allies occupying a ""Roost"" gain **RANGE(+5)** and **STRENGTHEN(+1)** them. This effect persists until the last ""Roost"" is destroyed.",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/Sky Hunters Roost.png
Eye of the Hunter,Voisira,Special Action,,03VOI-05SPA-046,"**STRENGTHEN(+1)** an ally, and they deal +1d2 bonus damage on each *attack* by them. After this character destroys an enemy, they may then perform a **MANOEUVRE(3d{M3/Icons/Dice/NULL.png})**. This effect persists until your next epilogue.",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/Eye of the Hunter.png
Snatch Grab Vortex,Voisira,Special Action,,03VOI-05SPA-047,"An ally performs the following *free action*:
Designate a space within **RANGE(5)** of this character, **PULL(4d{M3/Icons/Dice/NULL.png})** all enemies within **BLAST(2)** of the space and they become **SLOWED** until after their next direction. This movement immediately disengages combat.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/Snatch Grab Vortex.png
Flee,Voisira,Special Action,,03VOI-05SPA-048,"An ally performs the following *free manoeuvre action*:
An ally may perform a ***MANOEUVRE(4d{M3/Icons/Dice/NULL.png})**. This movement immediately disengages combat.",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/Flee.png
"""Charge the flanks!""",Xalakith,Special Action,,04XAL-05SPA-049,"An ally performs the following *free manoeuvre action*:
If an enemy is *engaged in combat* with an ally, and the enemy is within **PATH(5)** of this character; this character may perform a ***MANOEUVRE(4)** but must end adjacent to that enemy.",2,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/Charge the flanks.png
Phalanx,Xalakith,Special Action,,04XAL-05SPA-050,"**RESERVE(2)**

An ally gains **BLOCK(1D2)** until your next prologue. If they are adjacent to allies; they gain **BLOCK(2d2)** until your next prologue instead.",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/Phalanx.png
Tezca's Wellspring,Xalakith,Special Action,,04XAL-05SPA-051,"An all summons a ""Stele"" on their space.
Each ""Stele"" counts as a ""Link"" and is a *totem*. During your epilogue, **HEAL(2d2)** all allies within RANGE(5) of a ""Stele"". This effect persists until the last ""Stele"" is destroyed and a character can only benefit from one ""Stele"" at a time.",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/Tezcas Wellspring.png
Aurelian Trident,Xalakith,Special Action,,04XAL-05SPA-052,"An ally may perform the following *manoeuvre action*:
This character and up to 2 designated allies within **PATH(5)** are *compelled* to **MANOEUVRE** sequentially, each placing a ""Link"" token after they move. Once all movements are complete, each must be adjacent to at least one other of these allies. They then **SUNDER(-X)** and **WEAKEN(-X)** all adjacent enemies until your next epilogue, where X is the number of allies that moved.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/Aurelian Trident.png
Ecology,Ahèserec,Special Action,,05AHE-05SPA-053,"All **THICKETWAY** allies become ""Nourished"".
When each ""Nourished"" character redirects damage to themselves, gain X ethemeralds, where X is the amount of damage redirected. This effect persists until the last ""Nourished"" character is destroyed.",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Ahèserec/Ecology.png
Rootbound Grapple,Ahèserec,Special Action,,05AHE-05SPA-054,"An ally gains **ABSORB**, and all enemies *engaged in combat* with this character; must pass a rank-2 check to successfully perform ""Disengage"".",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Ahèserec/Rootbound Grapple.png
Undergrowth Assault,Ahèserec,Special Action,,05AHE-05SPA-055,All **THICKETWAY** allies may perform an **ATTACK** an additional time as a *free action* until you next epilogue.,6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Ahèserec/Undergrowth Assault.png
Thrive,Ahèserec,Special Action,,05AHE-05SPA-056,"**HEAL(4D2)** an ally and they summon a ""Verdant Soil"" on their space.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Ahèserec/Thrive.png
Breach,Veritian,Special Action,,06VER-05SPA-057,"**RESERVE(2)**

If an ally has *ADVANTAGE**, when they perform an *attack*, they deal +2d2 bonus damage. This effect persists until your next epilogue.",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Veritian/Breach.png
Warp,Veritian,Special Action,,06VER-05SPA-058,An ally will **PUSH(4d{M3/Icons/Dice/NULL.png})** enemies on their next *attack*. This movement immediately disengages combat.,4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Veritian/Warp.png
Punctual Arrival,Veritian,Special Action,,06VER-05SPA-059,"After any character's *emergence* this direction, they deal +1D2 bonus damage until your epilogue.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Veritian/Punctual Arrival.png
Displacement,Veritian,Special Action,,06VER-05SPA-060,"An ally becomes ""Phased"" and they summon a ""Rift"" on their space.
Each ""Rift"" is a *totem*. During your epilogue, any ""Phased"" ally may move to any ""Rift"". This character counts as if their *emergence"" was this direction. This effect persists until the end of you epilogue.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Veritian/Displacement.png
Resonating Geode,Rhavlika,Special Action,,01RHA-05SPA-061,"An ally summons a ""Menhir"" on their space.
Each ""Menhir"" is a *totem*. **STRENGTHEN(+1)** and **FORTIFY(+1)** all allies within **AURA(3)** of ""Menhir"". This effect persists until the last ""Menhir"" is destroyed.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Resonating Geode.jpg
Seismic Rebuke,Rhavlika,Special Action,,01RHA-05SPA-062,"All allies within AURA(3) of your champion gain the following *free attack reaction* until your next prologue:
When an enemy performs a *manoeuvre* on an adjacent space, this character may perform an **ATTACK** that enemy.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Seismic Rebuke.jpg
Tectonic Battery,Rhavlika,Special Action,,01RHA-05SPA-063,"An ally may perform an **ATTACK** an additional time as a *free action* until your next epilogue. If the ally was ""Molten"" they may perform an **ATTACK** 2 additional times as a *free action* until your next epilogue instead, but is no longer ""Molten"".",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Tectonic Battery.jpg
Reverberating Carapace,Rhavlika,Special Action,,01RHA-05SPA-064,"An ally gains **REFLECT** until your next prologue. If they are ""Molten"", additionally **SHIELD(2d2)** them and they are no longer ""Molten"".",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Reverberating Carapace.jpg
Undertow,Iro-Si-Khar,Special Action,,02IRO-05SPA-065,"All enemies *engaged in combat* with an ally become ""Sunk"" until you next prologue. When an ally performs an *attack* against a ""Sunk"" enemy, they gain **ADVANTAGE** on the *attack*. Each ""Sunk"" enemy must pass a rank-2 check to successfully perform ""Disengage"".",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Undertow.png
Deluge,Iro-Si-Khar,Special Action,,02IRO-05SPA-066,"An ally performs the following *free action*:
Designate a space within **RANGE(3)** of this character, **PUSH(4d{M3/Icons/Dice/NULL.png})** and **SUNDER(-1)** all enemies within **BLAST(2)** of this space until your epilogue. This movement immediately disengages combat.",7,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Deluge.png
Aqueduct,Iro-Si-Khar,Special Action,,02IRO-05SPA-067,"Summon a ""Current"" on an available space within **RANGE(3)** of an ally.
Each ""Current"" is a *catalyst* that causes allies to gain 2 more *steps* this *manoeuvre*. This effect persists until your next epilogue.",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Aqueduct.png
Hoarfrost,Iro-Si-Khar,Special Action,,02IRO-05SPA-068,An ally gains **RIPOSTE** until your next prologue.,5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Hoarfrost.png
Vantage Point,Voisira,Special Action,,03VOI-05SPA-069,An ally gains **RANGE(10)** and **ADVANTAGE** on its next *attack*.,6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/Vantage Point.png
"""Light them up!""",Voisira,Special Action,,03VOI-05SPA-070,"An ally causes enemies to be ""Marked"" with their next *attack*.
When any ally performs an *attack* against a ""Marked"" enemy, they gain **ADVANTAGE** on the *attack* and the enemy is no longer ""Marked"". This effect persists until the last ""Marked"" character is destroyed.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/Light them up.png
"""Sic'em!""",Voisira,Special Action,,03VOI-05SPA-071,**STRENGTHEN(+1)** all allies until your next prologue.,8,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/Sicem.png
Plummet,Voisira,Special Action,,03VOI-05SPA-072,"An ally becomes ""Airborne"". During your next epilogue, each ""Airbourne"" character may move to any space within RANGE(5) of an enemy within PATH(3) of them and then are no longer ""Airborne"". This ally then performs a *compelled* **ATTACK** against that enemy.",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/Plummet.png
Tlaquepal,Xalakith,Special Action,,04XAL-05SPA-073,"An ally and all adjacent allies gain **ADVANTAGE** on each *attack* by them, until your next prologue.",7,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/Tlaquepal.png
Suns' Verdict,Xalakith,Special Action,,04XAL-05SPA-074,"An ally performs the following *attack action*:
All enemies within **AURA(3)** suffer an **IMPACT(4)**.",7,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/Suns Verdict.png
Sovereign Mandate,Xalakith,Special Action,,04XAL-05SPA-075,"An ally performs the following *free manoeuvre action*:
An adjacent character is *compelled* to **MANEUVER(4d{M3/Icons/Dice/NULL.png})**.",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/Sovereign Mandate.png
Tzitzim's Vigil,Xalakith,Special Action,,04XAL-05SPA-076,"An ally and all adjacent allies gain the following *free attack reaction* until your next prologue:
When an enemy performs a *manoeuvre* on an adjacent space, this character may perform an **ATTACK** against that enemy.",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/Tzitzims Vigil.png
Briar's Weep,Ahèserec,Special Action,,05AHE-05SPA-077,All allies gain **CRITICAL({M3/Icons/Dice/CIRCLE.png})** on each *attack* by them until your next prologue.,5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Ahèserec/Briars Weep.png
Lignify,Ahèserec,Special Action,,05AHE-05SPA-078,"An ally adjacent to an ally minion gains **REINFORCE({M3/Icons/Dice/CIRCLE.png})** until your next prologue, then destroy the ally minion.",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Ahèserec/Lignify.png
Verdant Coil,Ahèserec,Special Action,,05AHE-05SPA-079,"**RESERVE(2)**

An ally minion performs the following *free action*:
An adjacent enemy becomes **ROOTED** until after their next direction, then destroy this character.",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Ahèserec/Verdant Coil.png
Bough Strike,Ahèserec,Special Action,,05AHE-05SPA-080,"All allies within AURA(3) of your champion gain the following *free attack reaction* until your next prologue:
When an enemy performs a *manoeuvre* on an adjacent space, this character may perform an **ATTACK** against that enemy.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Ahèserec/Bough Strike.png
Follow Through,Veritian,Special Action,,06VER-05SPA-081,"When any ally destroys an enemy, they may perform any *exertion* an additional time as a *free action* until your next epilogue. This effect persists until your epilogue.",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Veritian/Follow Through.png
Flashpoint,Veritian,Special Action,,06VER-05SPA-082,All enemies adjacent to an ally suffer an **IMPACT(3)**.,6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Veritian/Flashpoint.png
Veros' Breath,Veritian,Special Action,,06VER-05SPA-083,"An ally summons a ""Warp"" on an available space within **RANGE(5)**.
Each ""Warp"" is a *totem*. Whilst within **AURA(2)** of a ""Warp"", all enemies suffer **SLOWED* until after their next direction. This effect persists until your next prologue.",5,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Veritian/Veros Breath.png
Snap,Veritian,Special Action,,06VER-05SPA-084,"**RESERVE(2)**

After an ally's *emergence*, they gain **FORCE({M3/Icons/Dice/TRIANGLE.png})** until your next epilogue.",4,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Veritian/Snap.png
Blazing Charge,Rhavlika,Special Action,,01RHA-05SPA-085,"**STRENGTHEN(+1)** an ally for each space moved until your next epilogue and they perform the following *attack manoeuvre action*:
This character may move to an available space within **RANGE(6d2)**, then perform an **ATTACK**.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Blazing Charge.png
Short Fuse,Rhavlika,Special Action,Ignatius Krag's Signature Action,01RHA-05SPA-086,"All ""Molten"" allies may perform an **ATTACK** an additional time as a *free action* until your next epilogue. Each ally is then no longer ""Molten"" unless they suffer 2d2 damage.",9,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Rhavlika/Short Fuse.png
Condense,Iro-Si-Khar,Special Action,,02IRO-05SPA-087,Summon X Driplets to any available space adjacent to your champion. *N.B. This action still follows the standard limit of 3 Driplets to a UNION.*,X,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Condense.png
Roil,Iro-Si-Khar,Special Action,Thælass Elshara's Signature Action,02IRO-05SPA-088,"All allies gain **CRITICAL({M3/Icons/Dice/CIRCLE.png})** on each *attack* by and against them, until your next prologue.",8,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Iro-Si-Khar/Roil.png
Dart,Voisira,Special Action,Lark's Signature Action,03VOI-05SPA-089,"Your champion is immediately not engaged in combat, gains **REACH**, and they do not trigger reactions. These effects last until your next epilogue. Your champion then performs the following *attack manoeuvre action* 2 times as a *free action*:
This character may perform a ***MANOEUVRE(2)**, then they may perform an **ATTACK**.",7,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/Dart.png
The Bold,Voisira,Special Action,Malika Saffron's Signature Action,03VOI-05SPA-090,"A character may spend ""Fortune"" to gain **FORCE({M3/Icons/Dice/TRIANGLE.png})** and deal +2d2 bonus damage on their next *attack*.",8,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Voisira/The Bold.png
Stele of Dulling,Xalakith,Special Action,,04XAL-05SPA-091,"**RESERVE (2)**
Transform a ""Link"" into a ""Stele"".
Each ""Stele"" is a ""Link"" and a *totem*. All allies within RANGE(5) of a ""Stele"" gain BLOCK(2d2). This effect persists until the last ""Stele"" is destroyed and a character can only benefit from one ""Stele"" at a time.",6,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/Stele of Dulling.png
"""Bring hammers to anvils!""",Xalakith,Special Action,"Micteca, the Unsetting Sun's Signature Action",04XAL-05SPA-092,"All allies may use their *fortitude* instead of *prowess* on each *attack* by them, until your next prologue.",9,M3/Icons/Ether/ether.png,M3/Artwork/Special Actions/Xalakith/Bring hammers to anvils.png
