Name (str),Dominion (str),Class (str),Role (str),ID (str),Effect (str),Combat Stats BG (int),Prowess (int),Prowess (img),Fortitude (int),Fortitude (img),Ether (int),Ether (img),Artwork (img)
Huma'ra,Voisira,Familiar,,03VOI-02FAM-011,"**RANGE(5)**

**Lightning Strike** | *Ability*
After this character performs a *ranged* *attack*; they may then perform a **MANOEUVRE(3d{M3/Icons/Dice/NULL.png})**.",1,4,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Voisira/Humara.png,50,0,100"
Lu'ann,Voisira,Familiar,,03VOI-02FAM-012,"**FORERUNNER**

**Fleet of Foot** | *Manoeuvre Action*
This character may perform a ***MANOEUVRE(6d2)**.",1,4,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Voisira/Luann.png,50,0,100"
Shahbane,Voisira,Familiar,,03VOI-02FAM-013,"**RANGE(5)**

**Lance of the Shahbane** | *Action*
This character gains **PIERCE(10)** on their next *attack*.",1,4,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Voisira/Shahbane.png,50,0,100"
"Valex, the Final Plume",Xalakith,Champion,,04XAL-01CHP-014,"**RANGE(5)**, **FORCE({M3/Icons/Dice/SQUARE.png})**

**Mandate of Restoration** | *Ability*
When an ally completes the *Draw Font* action, **SHIELD(2d2)** them and all adjacent allies.",1,9,M3/Icons/Prowess/prowess.png,7,M3/Icons/Fortitude/fortitude.png,,,"M3/Artwork/Characters/Xalakith/Valex the Final Plume.png,50,0,100"
Cuauhxic,Xalakith,Familiar,,04XAL-02FAM-015,"**Bulwark** | *Ability*
Whilst adjacent, all allies gain **BLOCK(2d2)**.",1,4,M3/Icons/Prowess/prowess.png,7,M3/Icons/Fortitude/fortitude.png,7,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Xalakith/Cuauhxic.png,50,0,100"
Zephyr Coatl,Xalakith,Familiar,,04XAL-02FAM-016,"**RANGE(3)**, **REACH**

**Whiphead Strike** | *Free Attack Reaction*
When an enemy performs a *melee* *attack* against an adjacent ally, this character may perform an **ATTACK** that enemy as if they were adjacent.",1,5,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Xalakith/Zephyr Coatl.png,50,0,100"
Ixca,Xalakith,Familiar,,04XAL-02FAM-017,"**RANGE(5)**

**Righteous Fervour** | *Ability*
Whilst adjacent to allies this character gains **PIERCE(5)**.",1,7,M3/Icons/Prowess/prowess.png,3,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Xalakith/Ixca.png,50,0,100"
"Iroko, the Evergreen",Ahèserec,Champion,,05AHS-01CHP-018,"**RANGE(5)**, **FORCE({M3/Icons/Dice/CIRCLE.png})

**Soothing Song** | *Free Action*
**HEAL(2d2)** all allies within **AURA(10)**.",1,9,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,,,"M3/Artwork/Characters/Ahèserec/Iroko the Evergreen.png,50,0,100"
Dolhyrmen,Ahèserec,Familiar,,05AHS-02FAM-019,"**THICKETWAY**

**Protective Canopy** | *Ability*
When an *attack* is performed against an adjacent ally, deal up to 2 of the damage to this character instead. This character causes **WEAKEN(-1)** all enemies within **AURA(2)**.",1,6,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,6,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Ahèserec/Dolhyrmen.png,50,0,100"
Aescorn Gardewrren,Ahèserec,Familiar,,05AHS-02FAM-020,"**RANGE(3)**

**Sow** | *Action*
When this character occupies a ""Verdant Soil"", you may transform the ""Verdant Soil"" into a ""Sproutling"".
Each ""Sproutling"" is a *totem*. During your epilogue, **HEAL(2d2)** all allies within **AURA(5)** of a ""Sproutling"". During your opponent's epilogue, deal 2d2 damage to all enemies within **AURA(5)** of a ""Sproutling"".",1,4,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Ahèserec/Aescorn Gardewrren.png,50,0,100"
Pochann,Ahèserec,Familiar,,05AHS-02FAM-021,"**STEALTH**, **ABSORB**

**Venom Tipped** | *Ability*
During your opponent's epilogue, deal 2d2 damage to all enemies *engaged in combat* with this character.",1,6,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Ahèserec/Pochann.png,50,0,100"
Huskling,Ahèserec,Minion,,05AHS-03MIN-022,"**SLIGHT**

**Verdant Protector** | *Ability*
Whilst this character occupies a ""Verdant Soil"", they gain **CRITICAL({M3/Icons/Dice/CIRCLE.png})** on each *attack* against them.",1,3,M3/Icons/Prowess/prowess.png,3,M3/Icons/Fortitude/fortitude.png,,,"M3/Artwork/Characters/Ahèserec/Huskling.png,50,0,100"
Patience Wick,Veritian,Champion,,06VER-01CHP-023,"**RANGE(5)**

**Echo** | *Free Action*
An ally within **AURA(10)** becomes ""In Dynamis"".
A character may spend ""In Dynamis"" to repeat one *action* they already performed this direction.",1,7,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,,,"M3/Artwork/Characters/Veritian/Patience Wick.png,50,0,100"
Shadwul,Veritian,Familiar,,06VER-02FAM-024,"**STEALTH**

**Slipstream** | *Ability*
After this character performs an *attack*; they may then perform a **MANOEUVRE(4d{M3/Icons/Dice/NULL.png})**. This movement immediately disengages from combat. If the enemy was destroyed by the *attack*; this character may then perform a **MANOEUVRE(6d2)** instead.",1,6,M3/Icons/Prowess/prowess.png,5,M3/Icons/Fortitude/fortitude.png,6,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Veritian/Shadwul.png,50,0,100"
Phasmon,Veritian,Familiar,,06VER-02FAM-025,"**FLANK**

**Stinging Tentacles** | *Ability*
When any ally performs an *attack* against an enemy *engaged in combat* with this character, that ally deals +2d2 bonus damage. All enemies *engaged in combat* with this character; must pass a rank-2 check to successfully perform ""Disengage"".",1,6,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Veritian/Phasmon.png,50,0,100"
Crystellus,Veritian,Familiar,,06VER-02FAM-026,"**FORERUNNER**, **RIPOSTE**",1,5,M3/Icons/Prowess/prowess.png,5,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Veritian/Crystellus.png,50,0,100"
Shiverlate,Rhavlika,Familiar,,01RHV-02FAM-027,"**STEALTH**

**Liquifation** | *Attack Action*
This character performs an **AURA(2)** **ATTACK** that causes enemies to become ""Interred"" until after their next direction, but does not deal bonus damage. Each ""Interred"" character is **SLOWED**.",1,6,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Rhavlika/Shiverlate.png,50,0,100"
Coalslitch,Rhavlika,Familiar,,01RHV-02FAM-028,"**Burning Residue** | *Ability*
Whilst any enemy is *engaged in combat* with this character, they become ""Burnt"". During your opponent's epilogue, deal 2d2 damage to all ""Burnt"" enemies. Each ""Burnt"" enemy must pass a rank-2 check to successfully perform ""Disengage"".",1,6,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Rhavlika/Coalslitch.png,50,0,100"
Ko'hanu,Iro-Si-Khar,Familiar,,02IRO-02FAM-029,"**RANGE(5)**

**Shellburst** | *Ability*
After this character performs a *ranged* *attack*; they summon 1 ""Driplet"" on an available space within **BLAST(1)** of the focus. If an enemy was destroyed; this character summons 2 ""Driplets"" instead.",1,3,M3/Icons/Prowess/prowess.png,5,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Iro-Si-Khar/Kohanu.png,50,0,100"
Maelia,Iro-Si-Khar,Familiar,,02IRO-02FAM-030,"**RANGE(3)**, **BLAST(1)**

**Lure to the Depths** | *Ability*
This character will **SUNDER(-1)** and **WEAKEN(-1)** enemies until your next epilogue, on each *attack*.",1,4,M3/Icons/Prowess/prowess.png,3,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Iro-Si-Khar/Maelia.png,50,0,100"
Conro,Voisira,Familiar,,03VOI-02FAM-031,"**FLANK**, **RANGE(5)**

**Plummeting Strike** | *Ability*
This character will **PUSH(3d{M3/Icons/Dice/NULL.png})** enemies on each *ranged* *attack*, the eneny then becomes ""Marked"". This movement immediately disengages combat.
When any ally performs an *attack* against a ""Marked"" enemy, they gain **ADVANTAGE** on the *attack* and the enemy is no longer ""Marked"". This effect persists until the last ""Marked"" character is destroyed.",1,4,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Voisira/Conro.png,50,0,100"
Lillanir,Voisira,Familiar,,03VOI-02FAM-032,"**RANGE(5)**

**Favourable Winds ** | *Ability*
Whilst within **AURA(2)**, **STRENGTHEN(+1)** all allies.",1,3,M3/Icons/Prowess/prowess.png,3,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Voisira/Lillanir.png,50,0,100"
Malinal,Xalakith,Familiar,,04XAL-02FAM-033,"**RANGE(5)**

**Stele of Sharpening** | *Ability*
This character summons a ""Stele"" rather than places a ""Link"" token.
Each ""Stele"" counts as a ""Link"", and is a *totem*. Allies within **RANGE(5)** of a ""Stele"", deal +1D2 bonus damage, on each *attack*. A character can only benefit from one ""Stele"" at a time, and this effect persists until the last ""Stele"" is destroyed.",1,5,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Xalakith/Malinal.png,50,0,100"
Tezcayotl,Xalakith,Familiar,,04XAL-02FAM-034,"**Regretful Echo** | *Ability*
Whilst adjacent, all allies gain **RIPOSTE**.",1,4,M3/Icons/Prowess/prowess.png,7,M3/Icons/Fortitude/fortitude.png,6,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Xalakith/Tezcayotl.png,50,0,100"
Lomanec'hel,Ahèserec,Familiar,,05AHS-02FAM-035,"**FLANK**

**Fighting Dirty** | *Ability*
When this character performs a *ranged* *attack* against an enemy *engaged in combat*, this character gains **ADVANTAGE** on the *attack*.",1,4,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Ahèserec/Lomanechel.png,50,0,100"
Bran-Siûl,Ahèserec,Familiar,,05AHS-02FAM-036,"**FORERUNNER**, **RANGE(5)**

**Fleet of Wing** | *Manoeuvre Action*
This character may perform a **MANOEUVRE(6d2)**.",1,4,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Ahèserec/Bran-Siûl.png,50,0,100"
Occulacer,Veritian,Familiar,,06VER-02FAM-037,"**STEALTH**

**Flurry of Claws** | *Ability*
After this character's *emergence*, they may perform an **ATTACK(-1)** 2 additional times as a *free action* until you next epilogue.

**Veiled** | *Action*
This character performs a Xd{M3/Icons/Dice/NULL.png} rank-1 check, where X is the number of spaces to the nearest enemy. If the check is successful; this character is removed from the stage and must *emerge* next turn from **STEALTH**.",1,6,M3/Icons/Prowess/prowess.png,5,M3/Icons/Fortitude/fortitude.png,6,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Veritian/Occulacer.png,50,0,100"
Hastaca,Veritian,Familiar,,06VER-02FAM-038,"**FLANK**, **FORERUNNER**

**Stitch in Time** | *Attack Action*
This character performs a **PIERCE(5)** **ATTACK** that causes enemies to become ""In Stasis"" until after their next direction, but does not deal bonus damage. Each character ""In Stasis"" is **SLOWED**.",1,5,M3/Icons/Prowess/prowess.png,5,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Veritian/Hastaca.png,50,0,100"
Ignatius Krag,Rhavlika,Champion,,01RHV-01CHP-039,"**RANGE(3)**, **FORCE({M3/Icons/Dice/SQUARE.png})**

**Wildfire** | *Ability*
During your opponent's epilogue, deal 2d2 damage to all enemies within **BLAST(1)** of each ally. If there are 3+ ""Molten"" allies within **AURA(5)** of this character, during your opponent's epilogue, this character deals an additional 2d2 damage to all enemies within **AURA(5)**.",1,10,M3/Icons/Prowess/prowess.png,8,M3/Icons/Fortitude/fortitude.png,,,"M3/Artwork/Characters/Rhavlika/Ignatius Krag.png,50,0,100"
Thælass Elshara,Iro-Si-Khar,Champion,,02IRO-01CHP-040,"**RANGE(5)**, **FORCE({M3/Icons/Dice/CIRCLE.png})**

**Rime Burst** | *Free Attack Action*
**RESERVE(3)**
Designate an ally within **PIERCE(5)**. Each enemy within **BLAST(2)** of the ally suffers an **IMPACT(3)**, then destroy that ally.",1,9,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,,,"M3/Artwork/Characters/Iro-Si-Khar/Thælass Elshara.png,50,0,100"
Malika Saffron,Voisira,Champion,,03VOI-01CHP-041,"**RANGE(10)**, **FORCE({M3/Icons/Dice/TRIANGLE.png})**

**Fortune Favours** | *Free Action*
An ally within **AURA(10)** gains ""Fortune"". A character may spend ""Fortune"" to gain **ADVANTAGE** on their next *attack*.",1,12,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,,,"M3/Artwork/Characters/Voisira/Malika Saffron.png,50,0,100"
"Micteca, the Unsetting Sun",Xalakith,Champion,,04XAL-01CHP-042,"**RANGE(5)**

**Relentless Advance** | *Ability*
After an ally within **AURA(10)**, destroys an enemy; that ally and all adjacent allies, may be *compelled* to **MANOEUVRE(1)**.",1,7,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,,,"M3/Artwork/Characters/Xalakith/Micteca the Unsetting Sun.png,50,0,100"
"Draen, the Ashen Hart",Ahèserec,Champion,,05AHS-01CHP-043,"**RANGE(5)**, **FORCE({M3/Icons/Dice/CIRCLE.png})**

**Encroach** | *Ability*
All ally minions count as occupying ""Verdant Soil"". All ally minions gain **CRITICAL({M3/Icons/Dice/CIRCLE.png})** on each *attack* by them.",1,10,M3/Icons/Prowess/prowess.png,7,M3/Icons/Fortitude/fortitude.png,,,"M3/Artwork/Characters/Ahèserec/Draen the Ashen Hart.png,50,0,100"
Clement Tacitus,Veritian,Champion,,06VER-01CHP-044,"**RANGE(5)**

**Rapture** | *Ability*
This character causes enemies to become ""Fractured"" on each *attack*.
Other characters can move through ""Fractured"" characters, but must end a *manoeuvre* on an available space.",1,7,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,,,"M3/Artwork/Characters/Veritian/Clement Tacitus.png,50,0,100"
Vasolith,Rhavlika,Familiar,,01RHV-02FAM-045,"**Shift** | *Ability*
After this character performs an *attack* against an adjacent enemy, both they and the enemy, may be *compelled* to **MANOEUVRE(3d{M3/Icons/Dice/NULL.png})**, such that both remain adjacent and *engaged in combat*, if they were not destroyed. This movement immediately disengages from other combats. ",1,6,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Rhavlika/Vasolith.jpg,50,0,100"
Talux,Rhavlika,Familiar,,01RHV-02FAM-046,"**Flail** | *Attack Exertion*
This character performs an **ATTACK(6d2)** against each enemies within **BLAST(3)**.",1,6,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Rhavlika/Talux.jpg,50,0,100"
Lugubrious Dropple,Iro-Si-Khar,Familiar,,02IRO-02FAM-047,"**RANGE(3)**

**Consolidate** | *Ability*
If any ally is within **AURA(2)**, when they are destroyed, they summon a ""Floe"" on their space.
Each ""Floe"" is a *hazard* that causes enemies to become **ROOTED** and **SUNDER(-1)** them until after their next direction. Each ""Floe"" is destroyed after triggering. This effect persists until the last ""Floe"" is destroyed.",1,3,M3/Icons/Prowess/prowess.png,3,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Iro-Si-Khar/Lugubrious Dropple.png,50,0,100"
Karkinkeep,Iro-Si-Khar,Familiar,,02IRO-02FAM-048,"**Limpet** | *Action*
Summon a ""Basin"" on an available adjacent space.
Each ""Basin"" is a *totem*. During your epilogue each ""Basin"" summons 1 ""Dripplet"" minion to the nearest available space. A ""Basin"" can only generate one ""Dripplet"" per epilogue. This effect persists until the last ""Basin"" is destroyed.",1,3,M3/Icons/Prowess/prowess.png,5,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Iro-Si-Khar/Karkinkeep.png,50,0,100"
Alicanur,Voisira,Familiar,,03VOI-02FAM-049,"**RANGE(5)**

**Sharp Eye** | *Ability*
When this character performs ""Overwatch"" they gain **RANGE(+5)** and always benefits from the ""Target of Opportunity"" bonus rule.",1,4,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Voisira/Alicanur.png,50,0,100"
Stympharaq,Voisira,Familiar,,03VOI-02FAM-050,"**PIERCE(3)**, **REACH**",1,4,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Voisira/Stympharaq.png,50,0,100"
Yolia,Xalakith,Familiar,,04XAL-02FAM-051,"**SLIGHT**, **RANGE(3)**

**Sundering Strike** | *Attack Action*
This character performs an **ATTACK** that will **SUNDER(-2)** enemies, but does not deal bonus damage.",1,3,M3/Icons/Prowess/prowess.png,3,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Xalakith/Yolia.png,50,0,100"
Zotzon,Xalakith,Familiar,,04XAL-02FAM-052,"**RANGE(5)**

**Coordinated Assault** | *Ability*
Whilst adjacent to allies this character and all adjacent allies gain **CRITICAL({M3/Icons/Dice/SQUARE.png})** on each *attack* by them.",1,6,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Xalakith/Zotzon.png,50,0,100"
Nettle-Shy,Ahèserec,Familiar,,05AHS-02FAM-053,"**RANGE(3)**

**Bramble Pact** | *Action*
An ally within **AURA(5)**; gains **RIPOSTE** until your next prologue.",1,5,M3/Icons/Prowess/prowess.png,5,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Ahèserec/Nettle-Shy.png,50,0,100"
Borejaun,Ahèserec,Familiar,,05AHS-02FAM-054,"**THICKETWAY**

**Vengeful Canopy** | *Free Attack Reaction*
When an *attack* is performed against an adjacent ally, deal up to 2 of the damage to this character instead. When an enemy performs a *melee* *attack* against an adjacent ally, this character may perform an **ATTACK** that enemy as if they were adjacent.",1,6,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,6,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Ahèserec/Borejaun.png,50,0,100"
Anecdote,Veritian,Familiar,,06VER-02FAM-055,"**SLIGHT**

**Flicker** | *Ability*
This character may move through enemies but must end a *manoeuvre* on an available space.",1,3,M3/Icons/Prowess/prowess.png,5,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Veritian/Anecdote.png,50,0,100"
Gallitrice,Veritian,Familiar,,06VER-02FAM-056,"**FORERUNNER**

**Death Crow** | *Ability*
When this character is destroyed, all enemies within **AURA(3)** become **STUNNED** until after their next direction.",1,3,M3/Icons/Prowess/prowess.png,3,M3/Icons/Fortitude/fortitude.png,4,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Veritian/Gallitrice.png,50,0,100"
The Kovarine,Rhavlika,Familiar,Flint Dross' Loyal Companion,01RHV-02FAM-057,"**Convections** | *Ability*
When this character becomes ""Molten"", **HEAL(2d2)** them. When this character becomes no longer ""Molten"", **SHIELD(2d2)** them.",1,8,M3/Icons/Prowess/prowess.png,8,M3/Icons/Fortitude/fortitude.png,8,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Rhavlika/The Kovarine.png,50,0,100"
Scoriath,Rhavlika,Familiar,Ignatius Krag's Loyal Companion,01RHV-02FAM-058,"**Blast Furnace** | *Ability*
Whilst this character is ""Molten""; they gain **BLAST(1)**. If this character is ""Molten"", after they perform an *attack*, they summon a ""Fissure"" on each unoccupied space designated by the *attack*.
Each ""Fissure"" is a *hazard* and *catalyst* that causes enemies to suffer 2d2 damage, and allies may trigger to become ""Molten"". Each ""Fissure"" is destroyed after triggering. This effect persists until the last ""Fissure"" is destroyed.",1,8,M3/Icons/Prowess/prowess.png,8,M3/Icons/Fortitude/fortitude.png,8,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Rhavlika/Scoriath.png,50,0,100"
Tocarin,Iro-Si-Khar,Minion,Ripple Elshara's Loyal Companion,02IRO-03MIN-059,"**RANGE(5)**

**His Master's Voice** | *Ability*
Ripple Elshara's *Current's Embrace* *action* may use this character as the origin instead.",1,3,M3/Icons/Prowess/prowess.png,3,M3/Icons/Fortitude/fortitude.png,1,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Iro-Si-Khar/Tocarin.png,50,0,100"
Pelazhiqi,Iro-Si-Khar,Familiar,Thælass Elshara's Loyal Companion,02IRO-02FAM-060,"**RANGE(5)**

**Lob** | *Ability*
This character may ignore enemies when designating a *ranged* *attack*.

**Hurl** | *Ability*
After this character performs a *ranged* *attack*; they summon 1 ""Driplet"" on an available space within **BLAST(1)** of the focus of the *attack*. If an enemy was destroyed; this character summons 2 ""Driplets"" instead.",1,4,M3/Icons/Prowess/prowess.png,4,M3/Icons/Fortitude/fortitude.png,5,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Iro-Si-Khar/Pelazhiqi.png,50,0,100"
Calazi,Voisira,Minion,Lark's Loyal Companion,03VOI-03MIN-061,"**SLIGHT**, **RANGE(5)**

**Bird Call** | *Action*
After any ally within **AURA(2)** performs a *ranged* *attack*; they may then perform a **MANOEUVRE(1)**.",1,3,M3/Icons/Prowess/prowess.png,3,M3/Icons/Fortitude/fortitude.png,1,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Voisira/Calazi.png,50,0,100"
Mabruqa,Voisira,Familiar,Malika Saffron's Loyal Companion,03VOI-02FAM-062,"**STEALTH**, **RANGE(10)**

**""Lucky""** | *Ability*
During your epilogue this character gains ""Fortune"".",1,6,M3/Icons/Prowess/prowess.png,6,M3/Icons/Fortitude/fortitude.png,7,M3/Icons/Ether/ether.png,"M3/Artwork/Characters/Voisira/Mabruqa.png,50,0,100"
