#,Name,Dominion,Class,Role,Role Details,ID,Effect Name 1,Effect Type 1,Effect Details 1,Effect Name 2,Effect Type 2,Effect Details 2,Keywords,Ether,Prowess,Fortitude,Artwork,#Artwork Config,Flavour,Lore,Name Inspiration,Art Direction,Mechanic(s)
0011,Talux,Rhavlika,FAMILIAR,,,01RHA-03FAM-0011,FLAIL,ATTACK EXERTION,This character performs a **BLAST(3)** **ATTACK(6d2)** on this space.,,,,,5,6,6,https://drive.google.com/thumbnail?id=1GZiiM3QbQgF5uoEJA3oFZF5_QwMO1p9x&sz=w200,".jpg,20,0,100",Incredibly strong magnetic fields allow taluxes to swing their ferrous bodies about.,,"Talus + ""-ux"" (added to sound magnetic)","A magnetically charged ""lodestone"" golem. Limbs made from separate pieces held together by magnetic fields. It can flail about like a mace.", #BLAST
0012,Caldrack,Rhavlika,FAMILIAR,,,01RHA-03FAM-0012,CAUSTIC ANTLERS,ABILITY,"This character gains **LETHAL(1d2)** when ""Molten"".",VITRIOLIC QUENCH,FREE ACTION,"This character may cease being ""Molten"" to **HEAL(3d2)** all allies within **AURA(3)**",,6,6,6,https://drive.google.com/file/d/19bGkKBwhSdJUKaYa4jcwy_P-p8bjH_Ev&sz=w200,".jpeg,50,0,100",The sinter that forms around the geyser antlers is beautiful but deadly.,,Caldera + Rack (stag antlers),Moose with antlers pointing up filled with water. The spokes are made from stalactites of salty deposits. The rest of the body is stone eroded smooth from running water.,"~Molten, #HEAL"
0013,Dune-Schrag,Rhavlika,FAMILIAR,,,01RHA-03FAM-0013,SHATTER STRIKE,FREE ACTION,"This character may cease being ""Molten"" to gain **BLAST(1)** until your next epilogue.",SHIFTING SANDS,ABILITY,"When this character is not ""Molten"", it causes enemies to become ""Interred"" until after their next activation, on each *attack*.
Each ""Interred"" character is **SLOWED**, if it would become ""Interred"" again it is **ROOTED**.",,5,6,6,https://drive.google.com/file/d/1XmjqYpuOQlGYK3RxO0RsRYzdIwcVlgi7&sz=w200,".jpeg,50,0,100","Voisira views the Dune-Schrags as a menace, but their glass as a blessing.",,"Dune as in mounds of sand, Schrag is from Schrat which is a wood sprite from German/Slavic folklore mixed with slag.",A sand golem. Expelling the Molten status is like turning their hand into glass which then shatters when it strikes an enemy.,"~Molten, #BLAST, ~Interred, #SLOWED"
0014,Fissureback,Rhavlika,FAMILIAR,,,01RHA-03FAM-0014,"NO PAIN, NO GAIN",FREE ACTION,This character may suffer 1 damage to gain **FORCE({M3/Icons/Dice/SQUARE.png})** until your next epilogue.,BLOW OUT,ABILITY,"When this character is defeated, each enemy within **BLAST(3)** suffers an **IMPACT(3)**.",,5,6,6,https://drive.google.com/file/d/1EtpHsS64OC2ZHkoZzHPmqs6ucccE2TAA&sz=w200,".jpeg,50,0,100",Unruly to a virtue.,,Fissure +back to sound boarish.,Overly round body like a boulder. Thin fissures are used to convey a brindling of the coat with small flames as tufts of fur along its back.,"#FORCE, #BLAST, #IMPACT"
0015,The Rock of Hrugar,Rhavlika,TALISMAN,,,01RHA-05TAL-0015,,,**STRENGTHEN(+2)** and **FORTIFY(+2)** this character.,,,,,2,,,https://drive.google.com/thumbnail?id=1xLkeRocfScuVcDyQSx9xDEFCyAwRxN3Z&sz=w200,".png,50,0,100",Hrugar first lit the red oblivion with this divine relic.,,Hrugar (original dwarven/nordic sounding name),,"!STRENGTHEN, !FORTIFY"
0016,Cord of Iron Beads,Rhavlika,TALISMAN,,,01RHA-05TAL-0016,,,"After this character defeats an enemy, they may then perform a **MANOEUVRE(1)**.",,,,,1,,,https://drive.google.com/thumbnail?id=1Vk0JVTt1lJJk5vRMTY6AxwOV-uAeaMvb&sz=w200,".png,50,0,100","These beads toll with a rhythmic ring as the wearer moves, the beat keeps the pace.",,Literal description (Buddhist/monastic prayer beads),,#Move-and-Attack
0017,Pyroclastic Discharge,Rhavlika,SPECIAL ACTION,SIGNATURE,Flint Dross,01RHA-06SIG-0017,,,"All enemies within **BLAST(2)** of any ""Molten"" ally suffers an **IMPACT(4)** and 2d2 damage.
All characters are no longer ""Molten"".",,,,,8,,,,".png,50,0,100",Ash doesn't sound dangerous until it's burning hot and everywhere.,,,,"#BLAST, #IMPACT, #Direct Damage, ~Molten"
0018,Short Fuse,Rhavlika,SPECIAL ACTION,SIGNATURE,Ignatius Krag,01RHA-06SIG-0018,,,"All ""Molten"" allies may perform an **ATTACK** as a *free action* until your next epilogue. Each ally is then no longer ""Molten"" unless they suffer 2d2 damage.",,,,,9,,,,".png,50,0,100","""What did you call me!?""",,,,#Extra Attack
0019,Thermal Venting,Rhavlika,SPECIAL ACTION,,,01RHA-07SPA-0019,,,"**STRENGTHEN(+1)** an ally until your next prologue. If the ally is ""Molten"", then **STRENGTHEN(+2)** them until your next prologue instead, and are no longer ""Molten"".",,,,,4,,,,".png,50,0,100","As the temperature rises, the pressure must be released somewhere.",,,,"#STRENGTHEN, ~Molten"
0020,Fissure Eruption,Rhavlika,SPECIAL ACTION,,,01RHA-07SPA-0020,,,"An ally performs the following *free action*:
Summon a ""Fissure"" on an available space within RANGE(3) of this character.
Each ""Fissure"" is a *hazard* that causes enemies to suffer 2d2 damage. Each ""Fissure"" is removed after triggering. This effect persists until the last ""Fissure"" is removed.",,,,RESERVE(2),6,,,,".png,50,0,100",This is how the land shows its wrath.,,,,"#Hazard, #Direct Damage, ~Fissure"
0021,Smoke Cloud,Rhavlika,SPECIAL ACTION,,,01RHA-07SPA-0021,,,"**FORTIFY(+1)** an ally against any *ranged* *attack* until your next prologue. If the ally is ""Molten"", they then additionally gain, **REINFORCE({M3/Icons/Dice/SQUARE.png})** against any *ranged* *attack* until your next prologue and are no longer ""Molten"".",,,,,4,,,,".png,50,0,100",It takes a lot to obscure a Rhavlikan familiar.,,,,"#FORTIFY, #REINFORCE, ~Molten"
0022,Obsidian Slumber,Rhavlika,SPECIAL ACTION,,,01RHA-07SPA-0022,,,"A character within **RANGE(1)** of a ""Molten"" ally becomes **STUNNED **, cannot be the *origin* or *focus* of any effects, and counts as a ""Menhir"".
Each ""Menhir"" is an *obstruction*. This effect persists until your next prologue, and the ally is no longer ""Molten"".",,,,,5,,,,".png,50,0,100",It won't be the most comfortable of rest.,,,,"#Obstruction, #STUNNED, #Untargetable, ~Interred, ~Menhir, ~Molten"
0023,Harden Crust,Rhavlika,SPECIAL ACTION,,,01RHA-07SPA-0023,,,"**HEAL(3d2)** an ally. If the ally is ""Molten"", additionally **SHIELD(3d2)** then and they are no longer ""Molten"".",,,,,5,,,,".png,50,0,100","The earth may bleed, but it heals robustly.",,,,"#HEAL, #SHIELD, ~Molten"
0024,Mantle Accretion,Rhavlika,SPECIAL ACTION,,,01RHA-07SPA-0024,,,"**HEAL(2d2)** all ""Molten"" allies and all allies are no longer 'Molten'.",,,,,8,,,,".png,50,0,100",The earth reborn.,,,,"#HEAL, ~Molten"
0025,Rupture Strike,Rhavlika,SPECIAL ACTION,,,01RHA-07SPA-0025,,,An ally gains **BLAST(+2)** until you next epilogue.,,,,,6,,,,".png,50,0,100","When pressures rise, things tend to get volatile.",,,,#BLAST
0026,Karst Shield,Rhavlika,SPECIAL ACTION,,,01RHA-07SPA-0026,,,"An ally gains **RIPOSTE** until your next prologue. If they are ""Molten"", additionally **SHIELD(2d2)** them and they are no longer ""Molten"".",,,,,6,,,,".png,50,0,100",The jagged skin of karst has rebuffed many foes.,,,,"#RIPOSTE, #SHIELD, ~Molten"
0027,Orogeny,Rhavlika,SPECIAL ACTION,,,01RHA-07SPA-0027,,,"An ally performs the following *free action*:
Summon a ""Menhir"" on an available space within **RANGE(3)** of this character.
Each ""Menhir"" is an *obstruction*. This effect persists until your next prologue.",,,,RESERVE(2),5,,,,".png,50,0,100",There be mountains.,,,,"#Obstruction, ~Menhir"
0028,Resonating Geode,Rhavlika,SPECIAL ACTION,,,01RHA-07SPA-0028,,,"An ally summons a ""Menhir"" on their space.
Each ""Menhir"" is a *totem*. **STRENGTHEN(+1)** and **FORTIFY(+1)** all allies within **AURA(3)** of a ""Menhir"". This effect persists until the last ""Menhir"" is removed.",,,,,6,,,,".jpg,50,0,100",Vibrating crystals at certain frequencies has proved beneficial.,,,,"#Totem, #STRENGTHEN, #FORTIFY, ~Menhir"
0029,Seismic Rebuke,Rhavlika,SPECIAL ACTION,,,01RHA-07SPA-0029,,,"All allies within AURA(3) of your champion gain the following *free attack reaction* until your next prologue:
When an enemy performs a *manoeuvre* on an adjacent space, this character may perform an **ATTACK** that enemy.",,,,,6,,,,".jpg,50,0,100",Come closer.,,,,#Intercept
0030,Tectonic Battery,Rhavlika,SPECIAL ACTION,,,01RHA-07SPA-0030,,,"An ally may perform an **ATTACK** as a *free action* until your next epilogue. If the ally was ""Molten"" they may perform an **ATTACK** 2 times, each as a *free action* until your next epilogue instead, but is no longer ""Molten"".",,,,,6,,,,".jpg,50,0,100",The fists of Rhavlika are not known to be gentle.,,,,"#Extra Attack, ~Molten"
0031,Reverberating Carapace,Rhavlika,SPECIAL ACTION,,,01RHA-07SPA-0031,,,"An ally gains **REFLECT** until your next prologue. If they are ""Molten"", additionally **SHIELD(2d2)** them and they are no longer ""Molten"".",,,,,6,,,,".jpg,50,0,100",Shake it off.,,,,"#REFLECT, #SHIELD, ~Molten"
0032,Blazing Charge,Rhavlika,SPECIAL ACTION,,,01RHA-07SPA-0032,,,"**STRENGTHEN(+1)** an ally for each space moved until your next epilogue and they perform the following *attack manoeuvre action*:
This character may move to an available space within **RANGE(6d2)**, then perform an **ATTACK**.",,,,,6,,,,".png,50,0,100",You will be surprised how fast Rhavlika can be.,,,,"#STRENGTHEN, #Bonus Movement, #Move-and-Attack"
0033,Mantle Breaker,Rhavlika,SPECIAL ACTION,,,01RHA-07SPA-0033,,,"An ally performs the following *attack action*:
This character performs an **ATTACK** with **FORCE({M3/Icons/Dice/SQUARE.png})** against an adjacent enemy. If this character is ""Molten"" the enemy becomes ""Burnt"" until your next prologue and this characters is no longer ""Molten"". During your opponent's epilogue, deal 2d2 damage to all ""Burnt"" enemies.",,,,,6,,,,".png,50,0,100",Earth shattering blow.,,,,"#FORCE, ~Molten, ~Burnt, #Direct Damage"
0034,Ripple Elshara,Iro-Si-Khar,CHAMPION,,,02IRO-01CHP-0034,CURRENT'S EMBRACE,ACTION,An ally within AURA(5) is *compelled* to MANOEUVRE(1+6d{M3/Icons/Dice/NULL.png}). They may move through all other characters but must end on an available space. This movement immediately disengages combat.,,,,RANGE(5),,8,6,https://drive.google.com/thumbnail?id=1IhC7Fo6AUMx2tOjYPSOyRBqvd2xlTDXP&sz=w200,".png,50,0,100","""I carve my own path.""",,Ripple (small wave) + Elshara (original fantasy surname),,"!RANGE(5), #Extra Manoeuvre"
0035,Thælass Elshara,Iro-Si-Khar,CHAMPION,,,02IRO-01CHP-0035,RIME BURST,FREE ATTACK,"**RESERVE(3)**
Designate an ally within **PIERCE(5)**. Each enemy within **BLAST(2)** of the ally suffers an **IMPACT(3)**, then defeat that ally.",,,,"RANGE(5), FORCE({M3/Icons/Dice/CIRCLE.png})",,9,6,https://drive.google.com/thumbnail?id=1MEYGe18TMuIQ7ZPYgjtwtJ1p76nL8IPj&sz=w200,".png,50,0,100","""We will crash against them until even their sediment washes away!""",,Thalassa (Greek primeval spirit of the sea) + Elshara,,"!RANGE(5), !FORCE, #IMPACT, #BLAST"
0036,Tocarin,Iro-Si-Khar,MINION,COMPANION,Ripple Elshara,02IRO-02COM-0036,HIS MASTER'S VOICE,ABILITY,Ripple Elshara's *Current's Embrace* *action* may use this character as the origin instead.,,,,RANGE(5),1,3,3,https://drive.google.com/thumbnail?id=1DE18G4HrnaQPopseN5tEwYygJNtJwU-1&sz=w200,".png,10,0,100",,,Toucan,Toucan/parrot hybrid with long tail feathers which end in giant globules of water or trail along the ground as a puddle.,"#RANGE(5), #Extra Manoeuvre"
0037,Pelazhiqi,Iro-Si-Khar,FAMILIAR,COMPANION,Thaelass Elshara,02IRO-02COM-0037,LOB,ABILITY,This character may ignore enemies when designating a *ranged* *attack*.,HURL,ABILITY,"After this character performs a *ranged* *attack*; they summon 1 ""Driplet"" on an available space within **BLAST(1)** of the focus of the *attack*. If an enemy was defeated; this character summons 2 ""Driplets"" instead.",RANGE(5),5,4,4,https://drive.google.com/thumbnail?id=1y2TsJ1bFn5YAo02YOdMRt2n_ZqLZanhy&sz=w200,".png,50,0,100",,,Pela (ocean/Pelagos) + Wuzhiqi (Chinese monkey spirit),"A ""sea monkey"". A mermaid but the mer- is a shrimp/prawn chitin, and the -maid is a monkey. It lobs water at the enemy presumedly drawn from its own...","#RANGE(5), ~Minion, #Indirect Attack"
0038,Tumultuous Dropple,Iro-Si-Khar,FAMILIAR,,,02IRO-03FAM-0038,TUMULT,ABILITY,"Whilst any ally is within **AURA(2)**, they will **SUNDER(-1)** enemies until your next epilogue, on each *attack*.",,,,RANGE(3),4,3,3,https://drive.google.com/thumbnail?id=15HDlursXINMi7LLsjOHHjCChSJ0nAjy0&sz=w200,".png,50,0,100",,,Tumultuous (stormy/chaotic) + Dropple (Dribble - a watery diminutive),A water elemental representing crashing waves.,"#RANGE(3), #SUNDER"
0039,Ponderous Dropple,Iro-Si-Khar,FAMILIAR,,,02IRO-03FAM-0039,DAMPENING,ACTION,"Whilst any ally is within **AURA(2)**, they gain **BLOCK(2d2)**. This effect persists until your next epilogue.",,,,RANGE(3),6,3,3,https://drive.google.com/thumbnail?id=1DN_l3NVLzpi4hEE5qCAOxksrrm8jnRE7&sz=w200,".png,50,0,100",,,Ponderous (slow/clumsy from weight) + Dropple,A water elemental representing still water. Produces a bubble of water to dampen attacks.,"#RANGE(3), #BLOCK"
0040,Puddling,Iro-Si-Khar,FAMILIAR,,,02IRO-03FAM-0040,POOL,ABILITY,"When this character is defeated, they summon 3 ""Driplets"" on any available spaces within **BLAST(1)**.",POP,FREE ACTION,Remove this character as defeated.,,3,3,3,https://drive.google.com/thumbnail?id=188vwm7GTRhd0PYut4WZd1uwWKCO0pjLc&sz=w200,".png,20,0,100",,,"Puddle + ""-ing"" (diminutive suffix for small offspring/creature)","Combination of puffer fish (without the spines) and a flat fish. When ""full"" of driplets it is inflated like a water balloon, when emptied (or burst) it deflates into a puddle.",~Minion
0041,Ko'hanu,Iro-Si-Khar,FAMILIAR,,,02IRO-03FAM-0041,SHELLBURST,ABILITY,"After this character performs a *ranged* *attack*; they summon 1 ""Driplet"" on an available space within **BLAST(1)** of the focus. If an enemy was defeated; this character summons 2 ""Driplets"" instead.",,,,RANGE(5),4,3,5,https://drive.google.com/thumbnail?id=1O60bQ9HjoYlT22eUPYCHUuDSnAbrnUb_&sz=w200,".png,100,0,100",,,Kohan (Japanese for lake shore) or Hawaiian root (Kohan),"This was going to be an ""artillery turtle"". This breaks the RANGE(5) means flying rule.","#RANGE(5), ~Minion"
0042,Maelia,Iro-Si-Khar,FAMILIAR,,,02IRO-03FAM-0042,LURE TO THE DEPTHS,ABILITY,"This character will **SUNDER(-1)** and **WEAKEN(-1)** enemies until your next epilogue, on each *attack*.",,,,"RANGE(3), BLAST(1)",5,4,3,https://drive.google.com/thumbnail?id=1WUJ7WmEH9gMC3o_s2Mfx-PVtNKjbCO9d{M3/Icons/Dice/NULL.png}sz=w200,".png,50,0,100",,,"Maelstrom + ""-ia"" ","I wanted to create a non-standard siren but tentacles should mean a grapple effect. The similarities to Ursula are not a mistake as I saw this as a ""water witch"".","#RANGE(3), #BLAST, #WEAKEN"
0043,Lugubrious Dropple,Iro-Si-Khar,FAMILIAR,,,02IRO-03FAM-0043,CONSOLIDATE,ABILITY,"If any ally is within **AURA(2)**, when they are defeated, they summon a ""Floe"" on their space.
Each ""Floe"" is a *hazard* that causes enemies to become **ROOTED** and **SUNDER(-1)** them until after their next activation. Each ""Floe"" is removed after triggering. This effect persists until the last ""Floe"" is removed.",,,,RANGE(3),4,3,3,https://drive.google.com/thumbnail?id=1TiJX7GXWPBse5OC84EsYRwNVpyzs5eH9&sz=w200,".png,50,0,100",,,Lugubrious (looking or sounding sad/dismal) + Dropple,"I ""iceberg"" elemental that slides around on its base.","#RANGE(3), #Hazard, #ROOTED, #SUNDER, ~Floe"
0044,Karkinkeep,Iro-Si-Khar,FAMILIAR,,,02IRO-03FAM-0044,LIMPET,ACTION,"Summon a ""Basin"" on an available adjacent space.
Each ""Basin"" is a *totem*. During your epilogue each ""Basin"" summons 1 ""Dripplet"" minion to the nearest available space. A ""Basin"" can only generate one ""Dripplet"" per epilogue. This effect persists until the last ""Basin"" is removed.",,,,,4,3,5,https://drive.google.com/thumbnail?id=1Y0RMRqMEPXJqGhRZ_5DUfckfLdC0bjGP&sz=w200,".png,50,0,100",,,"Karkin (Karkinos, giant crab) + Keep (fortress)",A crab with a shell producing foam which it places methodically. Not a hermit crab (that's too iconic) but a classic flat crab.,"#Totem, ~Minion"
0045,Boisterous Dropple,Iro-Si-Khar,FAMILIAR,,,02IRO-03FAM-0045,RILE,ABILITY,"Whilst any ally is within **AURA(2)**, they gain **CRITICAL** on each attack until your next epilogue.",,,,RANGE(3),4,3,3,https://drive.google.com/file/d/1P_t0m5y9VP5JfCkQxgHw1HRsXCHtDKxM&sz=w200,".jpeg,50,0,100",It barely manages to hold itself together.,,"Boisterous (noisy, energetic, and cheerful) + Dropple",Storm Dropple,"#RANGE(3), #CRITICAL-ATK"
0046,Qalupel,Iro-Si-Khar,FAMILIAR,,,02IRO-03FAM-0046,CATCH,ACTION,**PULL(6d{M3/Icons/Dice/NULL.png})** an enemy within **RANGE(5)**. This movement immediately disengages combat.,KEEP,ABILITY,"All enemies *engaged in combat* with this character; must pass a rank-2 check to successfully perform ""Disengage"".",,4,3,3,https://drive.google.com/file/d/1kLyJBlgf_4zbS0G2clxmtyoNxauvzPFf&sz=w200,".jpeg,50,0,100",,,From Qalupalik,Anglerfish,"#P-CLOSE, #Grapple"
0047,Tempeshu,Iro-Si-Khar,FAMILIAR,,,02IRO-03FAM-0047,INCLEMENCY,ACTION,"Summon a *conduit* on this space.
Each *conduit* is a *totem*. Whilst any alley is within **RANGE(5)** of a *conduit*, they will **SUNDER(-1)** enemies until your next epilogue, on each *attack*. This effect persists until the last *conduit* is removed.",,,,,4,4,3,https://drive.google.com/file/d/155C3n2vC8zGxM5OKloNDpnIMdQaNxttO&sz=w200,".jpeg,50,0,100",,,Tempest + Mishipeshu,"Rather than a large imposing Lynx it'll be a smaller cuter wild cat. We can lean into the aquatic theme with exaggerated catfish whiskers. Horns, spines, and scales","#SUNDER, #Totem, ~Conduit"
0048,Driplet,Iro-Si-Khar,MINION,,,02IRO-04MIN-0048,,,,,,,UNION(3),,3,3,https://drive.google.com/thumbnail?id=1KedCG-SZtFGa91p1wlnGVZtJJVMceXlF&sz=w200,".png,50,0,100","Where there's a drip, there's a flood.",,"Drip + ""-let"" (diminutive suffix, small drop)","A stack of three slime monsters, stacked on each other like ice cream scoops.",!UNION
0049,Jade-Cloud Catcher,Iro-Si-Khar,TALISMAN,,,02IRO-05TAL-0049,,,"When this character defeats an enemy, gain Xd2 ethemeralds, where X is the ether cost of the defeated enemy.",,,,,2,,,https://drive.google.com/thumbnail?id=15BtnzT1ciJfQEY63TKIhnbTSgtanPB-j&sz=w200,".png,50,0,100",,,Literal description (Asian inspired artifact),,#Ethemerald Generation
0050,Celadon Gourd,Iro-Si-Khar,TALISMAN,,,02IRO-05TAL-0050,,,"When this character is defeated, they summon 1 ""Driplet"" to the nearest available space.",,,,,1,,,https://drive.google.com/thumbnail?id=1byABag3-ty8NcN8Fw6tHzxBlBO5eByvG&sz=w200,".png,50,0,100",,,Celadon (pale greyish-green glaze) + Gourd,,~Minion
0051,Lamentable Flow,Iro-Si-Khar,SPECIAL ACTION,SIGNATURE,Ripple Elshara,02IRO-06SIG-0051,,,"All ally minions are immediately not engaged in combat. All ally minions may move through enemies but must end a *manoeuvre* on an available space, and do not trigger *reactions* due to performing a *manoeuvre* until your next epilogue. The first time an individual minion, moves through an enemy, that enemy suffers an **IMPACT(2)**.",,,,,5,,,,".png,50,0,100",,,,,"#Evade, #Nimble, #IMPACT, ~Minion"
0052,Roil,Iro-Si-Khar,SPECIAL ACTION,SIGNATURE,Thælass Elshara,02IRO-06SIG-0052,,,"All allies gain **CRITICAL({M3/Icons/Dice/CIRCLE.png})** on each *attack* by and against them, until your next prologue.",,,,,8,,,,".png,50,0,100",,,,,"#CRITICAL-ATK, #CRITICAL-DEF"
0053,Rip Tide,Iro-Si-Khar,SPECIAL ACTION,,,02IRO-07SPA-0053,,,"An ally performs the following *free action*:
**PULL(6d{M3/Icons/Dice/NULL.png})** all characters within **PIERCE(5)**. This movement immediately disengages combat",,,,,4,,,,".png,50,0,100",These waters are treacherous.,,,,#P-CLOSE
